Title: DFX Tester - Test Report
Part Number: BIRD-DEMO-001
Serial Number: 4578
Date: 2026-05-05 14:56:40
User: lior (Admin)
-------------------
Test Name,Value,Min,Max,Result
Power Supply Init,-,-,-,PASS
Communication Check,-,-,-,PASS
Tolerance + Retry Demo,4.987 V,4.75,5.25,PASS
5V Output Voltage,4.994 V,4.95,5.15,PASS
12V Output Voltage,12.01 V,11.85,12.15,PASS
5V Load Current,1.246 A,0.5,2,PASS
Cleanup,-,-,-,PASS
Power Supply Init,-,-,-,PASS
Communication Check,-,-,-,PASS
Tolerance + Retry Demo,4.983 V,4.75,5.25,PASS
5V Output Voltage,5.057 V,4.95,5.15,PASS
12V Output Voltage,12.023 V,11.85,12.15,PASS
5V Load Current,1.859 A,0.5,2,PASS
Cleanup,-,-,-,PASS
